Photos provided by Pexels (https://www.pexels.com)
file | Pexels id | photographer | Pexels page | description
goa-1.jpg | 28355680 | Mohit Hambiria | https://www.pexels.com/photo/vibrant-seaside-scene-at-baga-beach-goa-28355680/ | Bustling Baga Beach in Goa, India, with people enjoying a sunny day by the sea.
goa-2.jpg | 19940057 | LiveLoveLife and TRAVEL | https://www.pexels.com/photo/basilica-of-bom-jesus-in-goa-in-india-19940057/ | View of a historical church building in Goa, India, showcasing colonial architecture.
goa-3.jpg | 28520254 | Mohit Hambiria | https://www.pexels.com/photo/sunset-over-arabian-sea-at-chapora-beach-india-28520254/ | Beautiful sunset over the Arabian Sea at Chapora Beach, India, with a serene ocean view.
goa-4.jpg | 38825080 | Tapas S | https://www.pexels.com/photo/portuguese-lighthouse-at-fort-aguada-goa-38825080/ | Majestic Portuguese-style lighthouse at Fort Aguada in Goa, under blue skies.
manali-1.jpg | 29494184 | Kunal Gautam | https://www.pexels.com/photo/scenic-view-of-manali-mountains-and-river-29494184/ | Beautiful mountain landscape with river in Manali, Himachal Pradesh.
manali-2.jpg | 6149892 | Shovan Datta | https://www.pexels.com/photo/people-paragliding-in-mountain-valley-6149892/ | Thrilling paragliding above Manali's scenic landscape with majestic Himalayan mountains.
manali-3.jpg | 11108128 | Shalnee Kumari | https://www.pexels.com/photo/snow-covered-mountain-under-blue-sky-11108128/ | Serene winter view of Baralacha La Pass with snow-capped mountains under a blue sky.
manali-4.jpg | 32690108 | Vaibhav Chauhan | https://www.pexels.com/photo/traditional-himalayan-temple-in-manali-india-32690108/ | Scenic view of a traditional Himalayan temple surrounded by lush greenery in Manali, India.
kerala-1.jpg | 17928231 | Pritam Sengupta | https://www.pexels.com/photo/passenger-ship-sailing-on-tropical-river-17928231/ | Scenic view of a traditional Kerala houseboat cruising through lush backwaters.
kerala-2.jpg | 31746351 | Harish .P | https://www.pexels.com/photo/scenic-boat-ride-in-alappuzha-s-backwaters-31746351/ | Experience the serene boat journey through the picturesque backwaters of Alappuzha, Kerala, India.
